frame_id,num_total_objects,avg_confidence,min_confidence,scene_diversity_score,total_object_area_ratio,max_box_area,num_large_objects,num_vehicles,num_vrus,log_vehicle_to_vru_ratio,is_vru_present,num_anomalous_static,is_anomalous_static_object_present,num_objects_in_center_lane,avg_y_center_of_vehicles
frame_00931,8.0,0.6819287426769733,0.38584959506988525,3.0,0.40801879566015137,0.22412419085452573,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,3.0,0.574837327003479
frame_00932,7.0,0.7466344663075039,0.43000590801239014,3.0,0.3776788234718757,0.2249948232495349,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5912905434767405
frame_00933,7.0,0.6940467272486005,0.3178727626800537,3.0,0.335801387514731,0.22482219486774646,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5626396437486013
frame_00934,6.0,0.7292646070321401,0.4004436731338501,3.0,0.34971256787064947,0.22518021659043264,1.0,5.0,0.0,15.424948670398354,0.0,0.0,0.0,1.0,0.5722366690635681
frame_00935,8.0,0.6543363071978092,0.35100534558296204,3.0,0.3815345262920933,0.22502444727274096,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,3.0,0.5660897833960397
frame_00936,9.0,0.6400214036305746,0.36102941632270813,2.0,0.40480746089213715,0.22474156263990963,1.0,9.0,0.0,16.012735246411598,0.0,0.0,0.0,4.0,0.5636870993508233
frame_00937,7.0,0.7121766422476087,0.44245603680610657,2.0,0.423838862201816,0.22513874144287271,1.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,2.0,0.5832304273332868
frame_00938,9.0,0.6402777201599545,0.330706924200058,3.0,0.39139057272926436,0.22385737284007412,1.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,3.0,0.5745460614562035
frame_00939,7.0,0.644158022744315,0.26296675205230713,3.0,0.364873817459772,0.22482319238190485,1.0,6.0,0.0,15.607270193858982,0.0,0.0,0.0,2.0,0.5621490379174551
frame_00940,8.0,0.5685730911791325,0.25300392508506775,4.0,0.4049937788089682,0.22549448504005376,1.0,6.0,1.0,1.9459092919129461,1.0,0.0,0.0,2.0,0.5742752452691396
